# Geant4→SSD 信号模拟 — noscratch — 每事件一行
# event_id  n_hits  r_mm  z_mm  edep_keV  emeas_keV
447  11  12.207  5.2  121.9999  122.0
448  8  4.489  0.15  122.0  122.0001
449  8  11.17  0.42  122.0001  122.0001
450  11  14.251  3.058  122.0  122.0
452  5  10.652  3.507  122.0  122.0
453  7  12.446  3.82  121.9998  121.9998
454  9  6.206  2.997  122.0  122.0001
456  10  11.618  2.045  122.0001  122.0001
459  3  6.267  0.15  33.855  33.8549
461  5  12.616  7.464  122.0  122.0
462  5  14.389  3.23  122.0  122.0
463  8  10.213  2.342  122.0  122.0001
464  16  12.284  5.104  122.0  122.0
468  3  11.757  6.357  23.1369  23.1369
469  8  11.032  6.885  121.9999  121.9999
470  8  6.267  4.861  122.0  122.0001
472  9  11.231  1.501  122.0  122.0
473  9  2.05  6.242  122.0  122.0
474  3  13.165  1.539  10.1011  10.1011
475  8  8.571  3.267  122.0  122.0
476  5  14.097  3.37  122.0001  122.0001
478  6  5.369  0.15  122.0  122.0
479  6  9.056  0.377  122.0001  122.0001
482  10  12.417  0.729  122.0  122.0
483  10  12.78  2.275  122.0001  122.0001
484  8  13.162  6.436  122.0001  122.0001
486  6  8.713  5.311  122.0  122.0
487  10  13.886  6.176  122.0001  122.0001
488  3  11.533  0.527  28.136  28.136
489  11  10.989  8.603  122.0001  122.0001
491  6  9.819  7.559  10.6592  10.6592
492  8  12.263  3.877  122.0  122.0001
495  3  10.898  4.49  10.4794  10.4794
497  5  9.755  1.964  122.0  122.0
500  8  1.559  3.728  122.0  122.0
502  3  13.707  0.159  8.8109  8.8109
503  5  11.168  2.984  122.0  122.0
504  5  7.876  1.577  122.0001  122.0001
505  8  7.32  4.69  122.0  122.0
507  6  10.859  0.96  122.0  122.0001
508  9  4.524  0.307  122.0  122.0
512  8  13.503  6.467  122.0  122.0
513  13  8.164  3.856  122.0001  122.0001
514  5  5.42  2.578  122.0001  122.0001
515  5  4.003  3.229  121.9999  121.9999
516  5  13.088  3.11  121.9999  121.9999
517  6  2.539  0.382  121.9999  121.9999
519  11  14.193  0.468  122.0  122.0
520  12  14.32  1.231  121.9999  121.9999
521  10  9.853  2.357  122.0  122.0
522  8  7.088  2.695  122.0  122.0
523  11  8.68  7.171  122.0  122.0
524  9  13.26  1.565  122.0001  122.0001
525  8  13.078  6.676  122.0  122.0
526  6  7.686  0.851  121.9999  121.9999
